,KEY,IS_BOX_INTERSECTING,IS_TIME_INTERSECTING,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,STATIONID,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
24,2017/04/06/KLWX/KLWX20170406_041128_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 04:11:28,2017-04-06 04:16:38
25,2017/04/06/KLWX/KLWX20170406_042137_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 04:21:37,2017-04-06 04:26:47
26,2017/04/06/KLWX/KLWX20170406_043145_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 04:31:45,2017-04-06 04:36:55
27,2017/04/06/KLWX/KLWX20170406_044152_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 04:41:52,2017-04-06 04:47:02
28,2017/04/06/KLWX/KLWX20170406_045159_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 04:51:59,2017-04-06 04:57:09
29,2017/04/06/KLWX/KLWX20170406_050207_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 05:02:07,2017-04-06 05:07:17
30,2017/04/06/KLWX/KLWX20170406_051215_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 05:12:15,2017-04-06 05:17:25
31,2017/04/06/KLWX/KLWX20170406_051724_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 05:17:24,2017-04-06 05:22:34
32,2017/04/06/KLWX/KLWX20170406_052234_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 05:22:34,2017-04-06 05:27:44
33,2017/04/06/KLWX/KLWX20170406_052743_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 05:27:43,2017-04-06 05:32:53
