,KEY,FOREIGN_KEY,SIZE,IS_TIME_INTERSECTING,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
,KEY,FOREIGN_KEY,SIZE,IS_TIME_INTERSECTING,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
20,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C03_G16_s20172050012187_e20172050014559_c20172050015001.nc,0,11.635569,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:12:18,2017-07-24 00:14:55
21,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C03_G16_s20172050017187_e20172050019559_c20172050020003.nc,0,11.328307,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:17:18,2017-07-24 00:19:55
22,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C03_G16_s20172050022187_e20172050024559_c20172050025002.nc,0,11.02011,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:22:18,2017-07-24 00:24:55
23,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C03_G16_s20172050027187_e20172050029559_c20172050030000.nc,0,10.710885000000001,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:27:18,2017-07-24 00:29:55
24,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C03_G16_s20172050032187_e20172050034559_c20172050035003.nc,0,10.408734,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:32:18,2017-07-24 00:34:55
25,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C03_G16_s20172050037187_e20172050039559_c20172050040001.nc,0,10.105455000000001,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:37:18,2017-07-24 00:39:55
26,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C03_G16_s20172050042187_e20172050044559_c20172050044599.nc,0,9.810587,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:42:18,2017-07-24 00:44:55
27,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C03_G16_s20172050047187_e20172050049559_c20172050050001.nc,0,9.506836,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:47:18,2017-07-24 00:49:55
28,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C03_G16_s20172050052187_e20172050054559_c20172050055001.nc,0,9.224281,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:52:18,2017-07-24 00:54:55
29,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C03_G16_s20172050057187_e20172050059559_c20172050100003.nc,0,8.880944999999997,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:57:18,2017-07-24 00:59:55
30,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C04_G16_s20172050012187_e20172050014559_c20172050015001.nc,0,2.7444,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:12:18,2017-07-24 00:14:55
31,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C04_G16_s20172050017187_e20172050019559_c20172050019599.nc,0,2.69321,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:17:18,2017-07-24 00:19:55
32,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C04_G16_s20172050022187_e20172050024559_c20172050025001.nc,0,2.6396610000000003,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:22:18,2017-07-24 00:24:55
33,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C04_G16_s20172050027187_e20172050029559_c20172050029599.nc,0,2.588167,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:27:18,2017-07-24 00:29:55
34,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C04_G16_s20172050032187_e20172050034559_c20172050035000.nc,0,2.5368169999999997,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:32:18,2017-07-24 00:34:55
35,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C04_G16_s20172050037187_e20172050039559_c20172050040001.nc,0,2.4840020000000003,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:37:18,2017-07-24 00:39:55
36,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C04_G16_s20172050042187_e20172050044559_c20172050044599.nc,0,2.435602,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:42:18,2017-07-24 00:44:55
