,YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
0,200702,1662,8014,2,16.0,NE,MERIWETHER,33.8136,-81.9733,3348816,8158398
1,200702,1662,8015,1,12.0,WSW,EDGEFIELD,33.7136,-82.1128,3342816,826768
2,200702,1662,8015,2,6.0,N,EDGEFIELD,33.8667,-81.92,3352002,8155200
3,200702,1662,8016,1,4.0,SE,OLAR,33.1391,-81.1312,338346,817872
4,200702,1662,8016,2,5.0,ESE,OLAR,33.1523,-81.1002,339138,816012
5,200702,1662,8017,1,1.0,W,SALUDA,34.0,-81.7874,3400,8147244
6,200702,1662,8018,1,5.0,S,CHAPIN,34.0977,-81.35,345862,8121000
7,200702,1662,8018,2,0.0,N,CHAPIN,34.17,-81.35,3410200,8121000
8,200702,1662,10929,1,0.0,N,AIKEN,33.55,-81.72,3333000,8143200
9,200702,1663,8019,1,1.0,S,AUGUSTA,33.4655,-81.97,3327930,8158200
10,200702,1663,8020,1,0.0,N,HEPHZIBAH,33.32,-82.1,3319200,826000
11,200702,1663,8021,1,0.0,N,HEPHZIBAH,33.32,-82.1,3319200,826000
12,200701,1666,8022,1,0.0,N,ASHDOWN,33.67,-94.13,3340200,947800
13,200701,1666,8024,1,0.0,N,HOPE,33.67,-93.6,3340200,9336000
14,200701,1667,8025,1,2.0,E,MAUD,33.33,-94.3154,3319800,9418924
15,200701,1667,8025,2,0.0,E,NEW BOSTON,33.45,-94.42,3327000,9425200
16,200701,1695,8225,1,0.0,N,HARVIELL,36.67,-90.47,3640200,9028200
17,200701,1695,8225,2,0.0,N,NEELYVILLE,36.57,-90.5,3634200,9030000
18,200701,1695,8226,1,0.0,N,DONIPHAN,36.62,-90.82,3637200,9049200
19,200701,1695,8226,2,0.0,N,NAYLOR,36.58,-90.6,3634800,9036000
20,200701,1695,8227,1,0.0,N,DEXTER,36.8,-89.95,3648000,8957000
21,200701,1695,8227,2,0.0,N,CIRCLE CITY,36.87,-89.8,3652200,8948000
22,200701,1695,8228,1,0.0,N,EAST PRAIRIE,36.78,-89.38,3646800,8922800
23,200701,1695,8228,2,3.0,E,CHARLESTON,36.92,-89.2758,3655200,8916548
24,200701,1695,8229,1,0.0,N,NEW MADRID,36.6,-89.53,3636000,8931800
25,200701,1695,8230,1,0.0,N,DONIPHAN,36.62,-90.82,3637200,9049200
26,200701,1695,8231,1,0.0,N,WAPPAPELLO,36.93,-90.28,3655800,9016800
27,200701,1696,8219,1,2.0,W,HICKMAN,36.57,-89.21600000000001,3634200,8912960
