,YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
0,200305,1152768,5360001,1,6.0,S,ROLLA,37.86667,-91.76666999999999,,
1,200305,1152769,5360002,1,,,ROLLA,37.95,-91.76666999999999,,
2,200305,1152770,5360003,1,,,NEWBURG,37.91667,-91.9,,
3,200305,1152771,5360004,1,8.0,S,ROLLA,37.83333,-91.76666999999999,,
4,200310,1163214,5371085,1,,,,,,,
5,200310,1163214,5371086,1,,,,,,,
6,200310,1163214,5371087,1,,,,,,,
7,200310,1163214,5371088,1,,,,,,,
8,200310,1163214,5371089,1,,,,,,,
9,200310,1163214,5371090,1,,,,,,,
10,200310,1163214,5371091,1,,,,,,,
11,200310,1163214,5371092,1,,,,,,,
12,200310,1163214,5371093,1,,,,,,,
13,200310,1163215,5371094,1,45.0,E,VENICE,,,,
14,200310,1163216,5371095,1,2.0,S,VARNADO,30.85,-89.83333,,
15,200310,1163432,5371096,1,14.0,NNW,OTIS,40.33333,-103.05,,
16,200309,1162783,5371535,1,,,MATHIS,,,,
17,200309,1162783,5371536,1,,,CORPUS CHRISTI,,,,
18,200309,1162784,5371537,1,,,PORT O'CONNOR,,,,
19,200309,1162940,5371538,1,,,GROVETON,,,,
20,200308,1163124,5371345,1,,,MARSHALL,,,,
21,200310,1163459,5371475,1,,,,,,,
22,200310,1163459,5371476,1,,,,,,,
23,200310,1163459,5371477,1,,,,,,,
24,200308,1160140,5369305,1,,,OLD TAMPA BAY,,,,
25,200308,1160141,5369306,1,5.0,ESE,LONGBOAT KEY,,,,
26,200308,1160142,5369307,1,3.0,SE,ST PETERSBURG BEACH,,,,
27,200308,1160143,5369308,1,2.0,W,CAPTIVA PASS,,,,
28,200307,1160458,5369491,1,,,COUNTYWIDE,,,,
29,200307,1160459,5369492,1,,,COUNTYWIDE,,,,
30,200307,1160460,5369493,1,,,LOVETTSVILLE,39.26667,-77.63333,,
31,200307,1160460,5369494,1,5.0,S,FRONT ROYAL,38.85,-78.18333,,
32,200307,1160461,5369495,1,1.0,N,BELMONT,38.16667,-77.86667,,
33,200307,1160462,5369496,1,,,WINCHESTER,38.8,-77.28333,,
34,200308,1160231,5369545,1,,,NEWBERRYTOWN,40.13333,-76.8,,
35,200308,1160232,5369546,1,5.0,E,HALIFAX,40.46667,-76.81667,,
36,200307,1157318,5373046,1,,,PALMYRA,39.8,-91.53333,,
37,200310,1163375,5371387,1,,,,,,,
