,FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
0,200906,8,0,5491,180112,D,06/08/2009 00:00:00,45.0,F,In Water,999999
1,200906,27,0,5565,180865,I,06/27/2009 00:00:00,91.0,F,Vehicle/Towed Trailer,999999
2,200906,8,0,5510,181067,D,06/08/2009 00:00:00,53.0,M,Outside/Open Areas,999999
3,200907,13,0,5501,181230,D,07/13/2009 00:00:00,82.0,M,Permanent Home,999999
4,200907,14,0,5502,181231,D,07/14/2009 00:00:00,83.0,M,Permanent Home,999999
5,200907,15,0,5503,181232,D,07/15/2009 00:00:00,78.0,M,Mobile/Trailer Home,999999
6,200907,18,0,5504,181233,D,07/18/2009 00:00:00,95.0,F,Permanent Home,999999
7,200907,29,0,5505,181234,D,07/29/2009 00:00:00,82.0,F,Permanent Home,999999
8,200907,31,0,5506,181235,D,07/31/2009 00:00:00,58.0,M,Outside/Open Areas,999999
9,200906,24,0,5507,181369,D,06/24/2009 00:00:00,44.0,M,Outside/Open Areas,999999
10,200906,26,0,5508,181373,I,06/26/2009 00:00:00,,F,Vehicle/Towed Trailer,999999
11,200906,26,0,5509,181373,I,06/26/2009 00:00:00,,F,Vehicle/Towed Trailer,999999
12,200908,19,0,5514,181471,I,08/19/2009 00:00:00,86.0,M,Vehicle/Towed Trailer,999999
13,200908,19,0,5515,181471,I,08/19/2009 00:00:00,78.0,F,Vehicle/Towed Trailer,999999
14,200906,27,0,5512,182325,D,06/27/2009 00:00:00,49.0,M,Outside/Open Areas,999999
15,200906,26,0,5513,182389,I,06/26/2009 00:00:00,77.0,F,Permanent Home,999999
16,200906,24,0,5516,183137,D,06/24/2009 00:00:00,37.0,M,Outside/Open Areas,999999
17,200906,10,0,5517,183188,I,06/10/2009 00:00:00,39.0,M,Outside/Open Areas,999999
18,200906,10,0,5518,183188,I,06/10/2009 00:00:00,36.0,F,Outside/Open Areas,999999
19,200908,22,0,5525,183476,D,08/22/2009 00:00:00,54.0,M,In Water,999999
20,200906,17,0,5526,183857,D,06/17/2009 00:00:00,23.0,F,Outside/Open Areas,999999
21,200901,4,0,4602,139622,D,01/04/2009 00:00:00,,,Vehicle/Towed Trailer,999999
22,200901,9,0,4378,141075,I,01/09/2009 00:00:00,70.0,M,Boating,999999
23,200901,9,0,4379,141075,I,01/09/2009 00:00:00,74.0,M,Boating,999999
24,200901,16,0,4385,141258,D,01/16/2009 00:00:00,65.0,M,Outside/Open Areas,999999
25,200901,21,0,4438,141864,I,01/21/2009 00:00:00,45.0,M,Vehicle/Towed Trailer,999999
26,200901,20,0,4439,141866,I,01/20/2009 00:00:00,,,Vehicle/Towed Trailer,999999
27,200901,2,0,4399,142215,D,01/02/2009 00:00:00,45.0,M,Outside/Open Areas,999999
28,200901,1,0,4424,142491,D,01/01/2009 00:00:00,42.0,M,Vehicle/Towed Trailer,999999
29,200901,22,0,4427,142568,I,01/22/2009 00:00:00,76.0,F,Vehicle/Towed Trailer,999999
30,200901,22,0,4428,142568,I,01/22/2009 00:00:00,80.0,M,Vehicle/Towed Trailer,999999
31,200901,29,0,4492,142942,I,01/29/2009 00:00:00,74.0,F,Mobile/Trailer Home,999999
