,YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
0,201603,102667,615187,1,2.82,SSE,ANTIOCH,34.68,-97.4,3440800,9724000
1,201603,102667,615188,1,1.84,WSW,SCULLIN,34.51,-96.89,3430600,9653400
2,201603,102667,615189,1,0.0,N,CONNERVILLE,34.45,-96.63,3427000,9637800
3,201603,102667,615190,1,0.0,N,ATOKA,34.38,-96.13,3422800,967800
4,201603,102693,625566,1,3.0,ESE,GASTON,45.4134,-123.0729,4524804,1234374
5,201603,102693,625566,2,5.0,SW,BEAVERTON,45.4288,-122.89299999999999,4525728,12253580
6,201603,102693,625567,1,0.0,N,NEHALEM,45.72,-123.9,4543200,12354000
7,201603,102693,625567,2,0.5,E,NEHALEM,45.72,-123.8896,4543200,12353376
8,201603,102738,613936,1,0.91,SSW,OLLA,31.8872,-92.2332,3153232,9213992
9,201603,102739,613937,1,0.86,NW,BOUGHTON,33.8588,-93.3407,3351528,9320442
10,201603,102747,613991,1,5.03,S,METHOW,48.0776,-120.0117,484656,120702
11,201603,102747,613991,2,5.0,S,METHOW,48.0781,-120.0109,484686,120654
12,201603,102747,613991,3,5.04,S,METHOW,48.0773,-120.01,484638,120600
13,201603,102747,613991,4,5.06,S,METHOW,48.0772,-120.0109,484632,120654
14,201603,102747,613992,1,10.43,ESE,TORBOY,48.6043,-118.4724,4836258,11828344
15,201603,102747,613992,2,10.37,ESE,TORBOY,48.6064,-118.4721,4836384,11828326
16,201603,102747,613992,3,10.44,ESE,TORBOY,48.6055,-118.4712,4836330,11828272
17,201603,102747,613992,4,10.46,ESE,TORBOY,48.6045,-118.4715,4836270,11828290
18,201603,102747,614029,1,0.59,SSW,EVANS,48.7119,-118.0239,4842714,1181434
19,201603,102747,614029,2,0.54,S,EVANS,48.7122,-118.0218,4842732,1181308
20,201603,102747,614029,3,0.58,S,EVANS,48.7117,-118.022,4842702,1181320
21,201603,102747,614029,4,0.6,SSW,EVANS,48.7115,-118.0228,4842690,1181368
22,201603,102747,614303,1,0.76,NW,WEST WENATCHEE,47.438,-120.3412,4726280,12020472
23,201603,102747,614303,2,0.77,NW,WEST WENATCHEE,47.4379,-120.3416,4726274,12020496
24,201603,102747,614303,3,0.75,NW,WEST WENATCHEE,47.4378,-120.3412,4726268,12020472
25,201603,102747,614303,4,0.75,NW,WEST WENATCHEE,47.438,-120.3409,4726280,12020454
26,201603,102762,614164,1,2.06,NNE,HELENVILLE,43.0481,-88.6865,432886,8841190
27,201605,104199,626585,1,0.88,SE,VINE GROVE,37.79,-85.97,3747400,8558200
28,201605,104199,626586,1,1.49,NNE,SAMUELS,37.9,-85.52,3754000,8531200
29,201605,104199,626587,1,0.0,N,ELIZABETH TOWN,37.7,-85.87,3742000,8552200
30,201605,104199,626588,1,0.69,N,VINE GROVE,37.81,-85.98,3748600,8558800
31,201605,104199,626589,1,0.88,SW,ST CATHERINE,37.69,-85.26,3741400,8515600
32,201605,104199,626590,1,0.0,N,HARNED,37.75,-86.42,3745000,8625200
33,201605,104199,626591,1,0.69,N,WILLISBURG,37.81,-85.12,3748600,857200
34,201605,104199,626592,1,0.0,N,VERSAILLES,38.05,-84.73,383000,8443800
35,201605,104199,626593,1,2.15,NE,HARTFORD,37.47,-86.89,3728200,8653400
36,201605,104199,626594,1,0.55,E,STANFORD,37.53,-84.66,3731800,8439600
37,201605,104199,626595,1,1.3,ENE,DIVIDING RIDGE,37.34,-85.9,3720400,8554000
38,201605,104199,626596,1,2.76,N,STEWART,37.72,-85.0,3743200,8500
39,201605,104199,626597,1,1.49,NNE,SAMUELS,37.9,-85.52,3754000,8531200
40,201605,104199,626598,1,0.0,N,HARDINSBURG ARPT,37.78,-86.45,3746800,8627000
41,201605,104199,626599,1,0.55,W,ELLMITCH,37.63,-86.71,3737800,8642600
42,201605,104199,626600,1,3.5,S,JACKTOWN,37.4,-85.01,3724000,85600
43,201605,104199,626602,1,0.55,E,STANFORD,37.53,-84.66,3731800,8439600
44,201605,104199,626603,1,2.15,NW,HALLS GAP,37.49,-84.66,3729400,8439600
