,YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
0,201806,124675,760803,1,3.17,ENE,OLEANDER,34.44,-86.48,3426400,8628800
1,201806,124675,760804,1,1.49,NNW,UNION GROVE,34.42,-86.46,3425200,8627600
2,201804,125150,750547,1,4.63,NW,KREAMER ISLAND,26.82,-80.78,2649200,8046800
3,201804,125150,750549,1,1.51,SSE,JUPITER INLET,26.91,-80.07,2654600,804200
4,201804,125150,750550,1,10.93,NE,ELLIOT KEY,25.58,-80.1,2534800,806000
5,201804,125150,750552,1,3.34,SW,GOVERNMENT CUT,25.73,-80.16,2543800,809600
6,201804,125150,750553,1,1.42,ESE,GOVERNMENT CUT,25.76,-80.11,2545600,806600
7,201804,125150,750554,1,2.88,N,BOCA RATON,26.3714,-80.0853,2622284,805118
8,201804,125151,750556,1,3.79,E,PORT EVERGLADES,26.09,-80.07,265400,804200
9,201804,125151,750557,1,11.36,E,PORT EVERGLADES,26.07,-79.95,264200,7957000
10,201804,125152,750558,1,4.63,NW,KREAMER ISLAND,26.82,-80.78,2649200,8046800
11,201804,125153,750560,1,1.06,S,SEMINOLE MANOR,26.5848,-80.0683,2635088,804098
12,201804,125154,750561,1,2.93,SSE,JUPITER INLET,26.8932,-80.0562,2653592,803372
13,201804,125154,750562,1,0.93,NE,JUPITER INLET,26.94,-80.07,2656400,804200
14,201804,125154,750563,1,1.33,SSE,JUPITER INLET,26.9116,-80.0734,2654696,804404
15,201804,125154,750564,1,9.71,SSE,PORT OF PALM BEACH,26.6128,-80.0362,2636768,802172
16,201804,125154,750565,1,3.38,ENE,PORT OF PALM BEACH,26.77,-80.02,2646200,801200
17,201804,125155,750570,1,2.78,SW,CORAL SPGS,26.24,-80.25,2614400,8015000
18,201804,125155,750574,1,3.5,WNW,CORAL SPGS,26.298000000000002,-80.267,2617880,8016020
19,201804,125155,750574,2,1.57,NW,CORAL SPGS,26.285999999999998,-80.238,2617160,8014280
20,201804,123173,743959,1,1.09,SSW,ALTO,32.3552,-91.8766,3221312,9152596
21,201804,123173,743959,2,2.17,ESE,DEHLCO,32.3631,-91.7386,3221786,9144316
22,201804,123173,743960,1,0.09,SSE,ARCHIBALD,32.3489,-91.7791,3220934,9146746
23,201804,123173,743961,1,3.45,S,DUNN,32.42,-91.58,3225200,9134800
24,201804,123173,743991,1,2.34,W,CRIMEA,31.97,-91.39,3158200,9123400
25,201804,123174,738545,1,1.5,NNE,NORTH CROSSETT,33.17,-91.94,3310200,9156400
26,201804,123174,738545,2,2.61,ESE,PARKDALE,33.1121,-91.5059,336726,9130354
27,201804,123174,738546,1,4.49,SSE,COSGROVE,33.24,-91.37,3314400,9122200
28,201804,123174,738546,2,1.77,ESE,SUNNYSIDE,33.2876,-91.1533,3317256,919198
29,201804,123176,738554,1,1.11,W,GREENVILLE,33.3991,-91.0691,3323946,914146
30,201804,123176,738554,2,1.78,NE,GREENVILLE FAIRFLD A,33.4001,-91.0006,3324006,9136
31,201804,123176,738555,1,0.58,W,(GLH)GREENVILLE MUNI,33.48,-90.99,3328800,9059400
32,201804,123176,738556,1,1.15,E,LELAND,33.4,-90.9,3324000,9054000
33,201804,123176,738557,1,0.5,NE,BOYLE,33.7056,-90.7245,3342336,9043470
34,201804,123176,738557,2,1.21,SE,CLEVELAND,33.7387,-90.7141,3344322,9042846
