,FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
0,200410,7,0,20790,5427106,D,10/07/2004 12:00:00,27.0,M,In Water,200410
1,200410,10,0,20791,5427107,D,10/10/2004 12:00:00,55.0,M,In Water,200410
2,200410,18,0,20795,5427354,D,10/18/2004 12:00:00,86.0,M,Permanent Home,200410
3,200410,18,0,20796,5427354,D,10/18/2004 12:00:00,,F,Permanent Home,200410
4,200410,18,0,20797,5427354,D,10/18/2004 12:00:00,,M,Permanent Home,200410
5,200409,18,0,20798,5427470,D,09/18/2004 12:00:00,,M,Permanent Home,200409
6,200409,18,0,20799,5427470,D,09/18/2004 12:00:00,,F,Permanent Home,200409
7,200409,18,0,20885,5427570,D,09/18/2004 12:00:00,44.0,M,In Water,200409
8,200409,28,0,20800,5426615,D,09/28/2004 12:00:00,26.0,,Outside/Open Areas,200409
9,200410,20,0,20801,5427019,D,10/20/2004 12:00:00,40.0,M,Other,200410
10,200410,19,0,20812,5426016,D,10/19/2004 12:00:00,40.0,F,Outside/Open Areas,200410
11,200410,19,0,20813,5426016,D,10/19/2004 12:00:00,40.0,M,Outside/Open Areas,200410
12,200410,12,0,20814,5426204,D,10/12/2004 12:00:00,39.0,F,Vehicle/Towed Trailer,200410
13,200410,26,0,20815,5426208,D,10/26/2004 12:00:00,58.0,F,In Water,200410
14,200410,26,0,20816,5426208,D,10/26/2004 12:00:00,37.0,F,In Water,200410
15,200411,24,0,20828,5425478,D,11/24/2004 12:00:00,44.0,M,Permanent Home,200411
16,200412,31,0,20829,5425868,D,12/31/2004 12:00:00,21.0,M,Vehicle/Towed Trailer,200412
17,200411,23,0,20830,5425182,D,11/23/2004 12:00:00,77.0,F,Mobile/Trailer Home,200411
18,200411,17,0,20831,5425601,D,11/17/2004 12:00:00,,F,In Water,200411
19,200411,27,0,20833,5426195,D,11/27/2004 12:00:00,,F,Vehicle/Towed Trailer,200411
20,200411,24,0,20835,5425192,D,11/24/2004 12:00:00,75.0,F,Mobile/Trailer Home,200411
21,200411,24,0,20836,5425924,D,11/24/2004 12:00:00,73.0,M,Vehicle/Towed Trailer,200411
22,200411,16,0,20838,5428985,D,11/16/2004 12:00:00,28.0,F,Outside/Open Areas,200411
23,200401,22,0,20839,5428305,D,01/22/2004 12:00:00,35.0,F,Vehicle/Towed Trailer,200401
24,200412,27,0,20840,5428452,D,12/27/2004 12:00:00,64.0,M,Long Span Roof,200412
25,200412,23,0,20841,5428576,D,12/23/2004 12:00:00,85.0,F,Outside/Open Areas,200412
26,200411,5,0,20842,5427797,D,11/05/2004 12:00:00,44.0,M,Vehicle/Towed Trailer,200411
27,200411,14,0,20843,5427978,D,11/14/2004 12:00:00,19.0,M,In Water,200411
28,200411,27,0,20845,5427942,D,11/27/2004 12:00:00,41.0,F,Vehicle/Towed Trailer,200411
29,200411,14,0,20846,5428817,D,11/14/2004 12:00:00,28.0,M,In Water,200411
30,200411,14,0,20847,5428817,D,11/14/2004 12:00:00,74.0,F,In Water,200411
31,200412,14,0,20855,5428621,D,12/14/2004 12:00:00,64.0,M,Business,200412
32,200412,30,0,20879,5430717,D,12/30/2004 12:00:00,62.0,M,In Water,200412
33,200412,27,0,20880,5430398,D,12/27/2004 12:00:00,31.0,M,In Water,200412
34,200412,20,0,20881,5429060,D,12/20/2004 12:00:00,67.0,M,Permanent Home,200412
35,200412,1,0,20883,5429511,D,12/01/2004 12:00:00,62.0,F,Vehicle/Towed Trailer,200412
36,200412,1,0,20884,5429521,D,12/01/2004 12:00:00,50.0,M,Under Tree,200412
37,200412,25,0,20890,5432516,D,12/25/2004 12:00:00,29.0,M,Outside/Open Areas,200412
38,200412,23,0,20891,5432619,D,12/23/2004 12:00:00,46.0,M,Outside/Open Areas,200412
39,200412,30,0,20892,5431374,D,12/30/2004 12:00:00,32.0,M,In Water,200412
40,200412,7,0,20893,5432306,D,12/07/2004 12:00:00,88.0,M,In Water,200412
41,200402,27,0,20902,5431174,D,02/27/2004 12:00:00,20.0,F,In Water,200402
42,200412,17,0,20903,5431541,D,12/17/2004 12:00:00,45.0,M,In Water,200412
43,200412,21,0,20904,5431548,D,12/21/2004 12:00:00,37.0,M,In Water,200412
44,200401,14,0,20905,5432322,D,01/14/2004 12:00:00,,M,Camping,200401
45,200412,10,0,20906,5431617,D,12/10/2004 12:00:00,22.0,M,Outside/Open Areas,200412
46,200412,11,0,20907,5431618,D,12/11/2004 12:00:00,42.0,M,Outside/Open Areas,200412
47,200412,11,0,20908,5431619,D,12/11/2004 12:00:00,32.0,M,Outside/Open Areas,200412
48,200412,11,0,20909,5431620,D,12/11/2004 12:00:00,59.0,M,Outside/Open Areas,200412
49,200406,19,0,20918,5431927,D,06/19/2004 12:00:00,17.0,M,In Water,200406
50,200406,21,0,20919,5431928,D,06/21/2004 12:00:00,14.0,F,In Water,200406
51,200406,27,0,20920,5431929,D,06/27/2004 12:00:00,,F,In Water,200406
52,200406,27,0,20921,5431929,D,06/27/2004 12:00:00,,F,In Water,200406
53,200406,27,0,20922,5431929,D,06/27/2004 12:00:00,,F,In Water,200406
54,200406,28,0,20923,5431930,D,06/28/2004 12:00:00,19.0,M,In Water,200406
55,200406,29,0,20924,5432033,D,06/29/2004 12:00:00,21.0,M,In Water,200406
56,200406,29,0,20925,5432033,D,06/29/2004 12:00:00,,M,In Water,200406
57,200406,29,0,20926,5432033,D,06/29/2004 12:00:00,,M,In Water,200406
58,200406,29,0,20927,5432033,D,06/29/2004 12:00:00,,M,In Water,200406
59,200406,29,0,20928,5432033,D,06/29/2004 12:00:00,,M,In Water,200406
60,200406,27,0,20929,5432034,D,06/27/2004 12:00:00,54.0,M,Vehicle/Towed Trailer,200406
61,200412,25,0,20931,5432166,D,12/25/2004 12:00:00,46.0,M,Outside/Open Areas,200412
62,200408,21,0,20964,5432264,D,08/21/2004 12:00:00,38.0,M,In Water,200408
63,200408,25,0,20965,5432265,D,08/25/2004 12:00:00,18.0,M,In Water,200408
64,200410,14,0,20966,5432271,D,10/14/2004 12:00:00,16.0,M,In Water,200410
65,200411,23,0,21025,5432590,D,11/23/2004 12:00:00,89.0,F,Permanent Home,200411
66,200409,4,0,21026,5432673,D,09/04/2004 12:00:00,18.0,M,Boat,200409
67,200402,28,0,20437,5381577,D,02/28/2004 12:00:00,23.0,M,Outside/Open Areas,200402
68,200401,27,0,20439,5381715,D,01/27/2004 12:00:00,45.0,M,Vehicle/Towed Trailer,200401
69,200401,27,0,20440,5381715,D,01/27/2004 12:00:00,38.0,M,Vehicle/Towed Trailer,200401
70,200401,26,0,20441,5381849,D,01/26/2004 12:00:00,57.0,M,Outside/Open Areas,200401
71,200401,27,0,20442,5381981,D,01/27/2004 12:00:00,52.0,M,Outside/Open Areas,200401
72,200401,6,0,20445,5381104,D,01/06/2004 12:00:00,72.0,F,Outside/Open Areas,200401
73,200401,6,0,20447,5382190,D,01/06/2004 12:00:00,77.0,M,In Water,200401
