,FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
0,201803,22,0,35630,740496,D,03/22/2018 00:00:00,,M,Vehicle/Towed Trailer,201803.0
1,201803,22,0,35631,740496,D,03/22/2018 00:00:00,72.0,F,Vehicle/Towed Trailer,201803.0
2,201804,13,0,35464,753636,I,04/13/2018 00:00:00,,M,Outside/Open Areas,201804.0
3,201805,28,0,35476,754296,D,05/28/2018 00:00:00,7.0,M,Under Tree,201805.0
4,201805,10,0,35528,757873,I,05/10/2018 00:00:00,1.0,M,Vehicle/Towed Trailer,201805.0
5,201805,10,0,35529,757873,I,05/10/2018 00:00:00,1.0,F,Vehicle/Towed Trailer,201805.0
6,201802,4,0,34944,730218,I,02/04/2018 00:00:00,55.0,M,Vehicle/Towed Trailer,201802.0
7,201802,4,0,34947,730219,I,02/04/2018 00:00:00,63.0,F,Vehicle/Towed Trailer,201802.0
8,201802,9,0,34950,730295,I,02/09/2018 00:00:00,57.0,M,Outside/Open Areas,201802.0
9,201802,10,0,34951,730812,I,02/10/2018 00:00:00,42.0,M,Vehicle/Towed Trailer,201802.0
10,201802,19,0,35266,731146,I,02/19/2018 00:00:00,31.0,F,Vehicle/Towed Trailer,201802.0
11,201802,3,0,35264,731151,I,02/03/2018 00:00:00,15.0,F,Vehicle/Towed Trailer,201802.0
12,201802,3,0,35265,731151,I,02/03/2018 00:00:00,19.0,M,Vehicle/Towed Trailer,201802.0
13,201802,5,0,35009,732556,I,02/05/2018 00:00:00,73.0,M,Vehicle/Towed Trailer,201802.0
14,201802,25,0,35267,733561,I,02/25/2018 00:00:00,21.0,M,Camping,201802.0
15,201802,18,0,35023,734019,D,02/18/2018 00:00:00,74.0,M,Outside/Open Areas,201802.0
16,201802,24,0,35215,737279,D,02/24/2018 00:00:00,77.0,M,Vehicle/Towed Trailer,201802.0
17,201802,20,0,35239,737304,I,02/20/2018 00:00:00,18.0,M,Vehicle/Towed Trailer,201802.0
18,201802,17,0,35223,739742,D,02/17/2018 00:00:00,30.0,M,Outside/Open Areas,201802.0
19,201802,3,0,35248,740978,I,02/03/2018 00:00:00,22.0,M,Vehicle/Towed Trailer,201802.0
20,201802,3,0,35249,740979,I,02/03/2018 00:00:00,17.0,F,Vehicle/Towed Trailer,201802.0
21,201802,3,0,35250,740979,I,02/03/2018 00:00:00,13.0,F,Vehicle/Towed Trailer,201802.0
22,201802,6,0,35255,741419,D,02/06/2018 00:00:00,22.0,M,Outside/Open Areas,201802.0
23,201802,20,0,35268,742240,D,02/20/2018 00:00:00,47.0,M,Vehicle/Towed Trailer,201802.0
24,201802,21,0,35274,742595,D,02/21/2018 00:00:00,53.0,M,Vehicle/Towed Trailer,201802.0
25,201802,18,0,35275,742615,D,02/18/2018 00:00:00,74.0,M,Other,201802.0
