,YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
0,200207,1140988,5309635,1,,,CAPE ELIZABETH,43.56667,-70.2,,
1,200207,1140829,5309866,1,,,AMIRET,44.31667,-95.7,,
2,200207,1140830,5309867,1,,,TRACY,44.23333,-95.61667,,
3,200207,1140831,5309868,1,3.0,N,WESTBROOK,44.1,-95.43333,,
4,200207,1140831,5309869,1,12.0,NE,DELFT,44.1,-94.93333,,
5,200207,1140832,5309870,1,,,STORDEN,44.05,-95.31667,,
6,200207,1140833,5309871,1,,,HARRIS,43.45,-95.45,,
7,200207,1140834,5309872,1,,,LAKE PARK,43.46667,-95.31667,,
8,200207,1140834,5309873,1,,,SPIRIT LAKE,43.43333,-95.1,,
9,200207,1140835,5309874,1,1.0,N,SPIRIT LAKE,43.45,-95.1,,
10,200207,1140836,5309875,1,,,EVERLY,43.16667,-95.33333,,
11,200207,1140837,5309876,1,,,MOVILLE,42.5,-96.06667,,
12,200208,1140998,5309877,1,2.0,NW,BRIGHTON,42.55,-83.8,,
13,200208,1141051,5310099,1,5.0,N,MEDINA,46.95,-99.3,,
14,200208,1141052,5310100,1,6.0,N,CLEVELAND,46.96667,-99.11667,,
15,200208,1141053,5310101,1,,,NAPOLEON,46.5,-99.76666999999999,,
16,200208,1141054,5310102,1,,,BEACH,46.91667,-104.0,,
17,200208,1141143,5310431,1,4.0,SE,(LAL)LAKELAND MUNI A,27.95,-81.96667,,
18,200208,1141144,5310432,1,,,SEBRING,,,,
19,200208,1141145,5310433,1,5.0,NW,RUSKIN,,,,
20,200208,1141146,5310434,1,,,TAMPA,,,,
21,200208,1141147,5310435,1,,,GULFPORT,,,,
22,200208,1141148,5310436,1,9.0,SE,BRADENTON,,,,
23,200208,1141149,5310437,1,,,SARASOTA,,,,
24,200208,1141150,5310438,1,2.0,N,CRYSTAL RIVER,,,,
25,200208,1141151,5310439,1,,,BAYPORT,28.53333,-82.65,,
26,200208,1141152,5310440,1,3.0,S,CLEARWATER,,,,
27,200207,1140532,5310441,1,,,COUNTYWIDE,,,,
28,200207,1140532,5310442,1,,,SOUTHEAST PORTION,,,,
29,200208,1141033,5310000,1,10.0,SE,CARSON,46.31667,-101.41667,,
30,200208,1141034,5310001,1,,,NEW SALEM,46.85,-101.41667,,
31,200208,1141035,5310002,1,,,FLASHER,46.45,-101.23333000000001,,
32,200208,1141036,5310003,1,,,ST ANTHONY,46.61667,-100.91667,,
33,200208,1141037,5310004,1,,,STRASBURG,46.13333,-100.16667,,
34,200208,1141038,5310005,1,10.0,SW,GARRISON,47.55,-101.56667,,
35,200208,1141039,5310006,1,3.0,SE,(BIS)BISMARCK MUNI A,46.75,-100.7,,
36,200208,1141219,5310804,1,15.0,N,HULETT,44.9,-104.6,,
37,200208,1141220,5310805,1,17.0,NNE,BELLE FOURCHE,44.9,-103.73333000000001,,
38,200208,1141221,5310806,1,2.0,W,BELVIDERE,43.83333,-101.3,,
39,200208,1141222,5310807,1,9.0,N,CEDAR BUTTE,43.71667,-101.01666999999999,,
40,200208,1141223,5310808,1,,,WHITE RIVER,43.56667,-100.75,,
41,200208,1141224,5310809,1,6.0,NE,WOOD,43.56667,-100.4,,
42,200208,1141225,5310810,1,3.0,SW,ALLEN,43.25,-101.98333000000001,,
43,200208,1141226,5310811,1,3.0,E,WANBLEE,43.56667,-101.6,,
44,200208,1141227,5310812,1,,,MARTIN,43.16667,-101.75,,
45,200208,1141228,5310813,1,6.0,N,HOWES,44.7,-102.05,,
46,200208,1141229,5310814,1,9.0,SE,ZEONA,45.1,-102.8,,
47,200208,1141229,5310815,1,13.0,SE,ZEONA,45.06667,-102.75,,
48,200208,1141230,5310816,1,5.0,W,MAURINE,45.01667,-102.7,,
49,200208,1141231,5310817,1,7.0,SW,ELM SPGS,44.25,-102.61667,,
50,200208,1141232,5310818,1,1.0,N,WICKSVILLE,44.11667,-102.58333,,
51,200208,1141232,5310819,1,,,BOXELDER,44.11667,-103.06667,,
52,200208,1141232,5310820,1,,,WASTA,44.06667,-102.45,,
53,200208,1141233,5310821,1,12.0,S,ELM SPGS,44.15,-102.51666999999999,,
54,200208,1141234,5310822,1,25.0,NW,WINNER,43.61667,-100.21667,,
55,200208,1141235,5310823,1,2.0,S,MYSTIC,44.05,-103.63333,,
56,200208,1141236,5310824,1,3.0,SW,CUSTER,43.73333,-103.65,,
57,200207,1139942,5311184,1,,,,,,,
58,200207,1139943,5311185,1,,,,,,,
59,200207,1139944,5311186,1,,,,,,,
60,200207,1139945,5311187,1,,,,,,,
61,200207,1139946,5311188,1,,,,,,,
62,200208,1140117,5311212,1,,,,,,,
63,200207,1139964,5311290,1,,,,,,,
64,200207,1139965,5311291,1,,,POLACCA,,,,
65,200208,1140117,5311216,1,,,,,,,
66,200208,1140124,5311217,1,,,,,,,
67,200207,1140407,5311542,1,,,VILONIA,35.08333,-92.21667,,
68,200207,1139907,5311543,1,,,COUNTYWIDE,,,,
69,200208,1140117,5311209,1,,,,,,,
70,200207,1140340,5311252,1,,,BATON ROUGE,,,,
71,200207,1140538,5311253,1,,,LA BRANCH,45.88333,-87.46667,,
72,200207,1140538,5311254,1,,,ARNOLD,46.05,-87.48333000000001,,
73,200207,1140538,5311255,1,2.0,SE,FOSTER CITY,45.95,-87.71667,,
74,200208,1140058,5311777,1,4.0,W,LENOX,40.88333,-94.63333,,
75,200208,1140118,5311952,1,,,DURAND,42.43333,-89.33333,,
76,200208,1140118,5311953,1,,,CALEDONIA,42.36667,-88.9,,
77,200208,1140118,5311954,1,,,CARPENTERSVILLE,42.13333,-88.25,,
78,200208,1140118,5311955,1,,,WAUKEGAN,42.36667,-87.83333,,
79,200207,1139292,5309285,1,2.0,W,COOKEVILLE,36.16667,-85.53333,,
80,200207,1139292,5309286,1,3.0,E,CLARKSVILLE,,,,
81,200208,1142007,5312569,1,10.0,E,BEULAH,38.08333,-104.8,,
82,200208,1142127,5312570,1,,,ST DAVID,47.33333,-68.23333000000001,,
83,200208,1142128,5312571,1,,,WILLIMANTIC,45.3,-69.41667,,
84,200208,1142129,5312572,1,1.0,SE,ORIENT,45.8,-67.83333,,
85,200207,1142130,5312573,1,9.0,E,BAR HARBOR,44.38333,-68.01666999999999,,
86,200207,1142131,5312574,1,28.0,SE,BAR HARBOR,44.1,-67.8,,
87,200212,1140220,5312216,1,,,,,,,
88,200208,1142434,5312706,1,10.0,SW,ETHAN,43.45,-98.11667,,
89,200208,1142435,5312707,1,,,PARKSTON,43.4,-97.98333000000001,,
90,200208,1142436,5312708,1,1.0,S,FARMER,43.7,-97.68333,,
91,200208,1142437,5312709,1,,,(FSD)JOE FOSS FLD SI,43.58333,-96.73333000000001,,
92,200208,1142438,5312710,1,6.0,S,LARCHWOOD,43.36667,-96.45,,
93,200208,1142439,5312711,1,2.0,SW,RUTHTON,44.16667,-96.15,,
94,200208,1142472,5312712,1,6.0,NE,AVON,43.06667,-97.98333000000001,,
95,200208,1142473,5312713,1,,,UTICA,42.98333,-97.48333000000001,,
96,200208,1142474,5312714,1,5.0,N,TYNDALL,43.05,-97.85,,
97,200208,1141868,5312816,1,,,GREEN VLY,,,,
98,200208,1142313,5312964,1,,,NISKAYUNA,42.78333,-73.83333,,
99,200208,1142162,5312928,1,,,WESTFIELD,42.11667,-72.75,,
100,200207,1140669,5310568,1,15.0,E,LAKE CITY,33.86667,-79.48333000000001,,
101,200207,1140670,5310569,1,,,HEMINGWAY,33.75,-79.45,,
102,200207,1140671,5310570,1,,,MAPLE HILL,34.5,-77.68333,,
103,200207,1140672,5310571,1,,,BOLTON,34.31667,-78.41667,,
104,200207,1140673,5310572,1,,,DELCO,34.31667,-78.21667,,
105,200207,1140674,5310573,1,,,LAKE WACCAMAW,34.31667,-78.51666999999999,,
106,200207,1140543,5310657,1,,,,,,,
107,200207,1140677,5310658,1,,,WILMINGTON,,,,
108,200207,1140678,5310659,1,1.0,SW,LELAND,34.23333,-78.06667,,
