,YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
0,200507,1195742,5466786,1,,,SYLACAUGA,33.16667,-86.25,,
1,200507,1195626,5466942,1,,,MAUMEE BAY,41.68333,-83.5,,
2,200507,1195626,5466943,1,,,RENO BEACH,41.66667,-83.26666999999999,,
3,200507,1195626,5466944,1,,,THE ISLANDS,41.66667,-82.75,,
4,200507,1195499,5467466,1,,,,,,,
5,200507,1195165,5467333,1,10.0,N,SAN ANGELO,31.616670000000003,-100.43333,,
6,200507,1195166,5467334,1,10.0,N,EL DORADO MUNI ARPT,31.0,-100.61667,,
7,200507,1195167,5467335,1,,,SAN ANGELO,31.46667,-100.43333,,
8,200507,1195168,5467336,1,3.0,NW,MARYNEAL,32.3,-100.48333000000001,,
9,200507,1195169,5467337,1,,,ROSCOE,32.43333,-100.53333,,
10,200507,1195170,5467338,1,3.0,N,PIERCE CITY,37.0,-94.0,,
11,200507,1195171,5467339,1,,,BRADLEYVILLE,36.78333,-92.9,,
12,200507,1195172,5467340,1,,,JOPLIN,37.08333,-94.51666999999999,,
13,200507,1195173,5467341,1,,,REEDS SPG,36.75,-93.38333,,
14,200507,1195183,5467342,1,,,SCAMMON,37.28333,-94.81667,,
15,200507,1195648,5467241,1,,,SALAMANCA,42.15,-78.71667,,
16,200507,1195648,5467242,1,,,BYRON,43.08333,-78.06667,,
17,200507,1195240,5467503,1,,,ROCKY GAP,37.23333,-81.1,,
18,200507,1195240,5467504,1,,,ROCKY GAP,37.23333,-81.1,,
19,200507,1195240,5467505,1,6.0,E,COVINGTON CITY,37.78333,-79.86667,,
20,200507,1195280,5467725,1,,,,,,,
21,200507,1195280,5467726,1,,,,,,,
22,200507,1195280,5467733,1,,,,,,,
23,200507,1195280,5467734,1,,,,,,,
24,200507,1194169,5465486,1,,,CHELMSFORD CENTER,42.58333,-71.33333,,
25,200507,1194169,5465487,1,,,HAVERHILL,42.78333,-71.08333,,
26,200507,1194169,5465488,1,,,TEWKSBURY,42.61667,-71.23333000000001,,
27,200507,1194169,5465489,1,,,ANDOVER,42.65,-71.13333,,
28,200507,1194586,5465646,1,,,BENSON ARPT,45.33333,-95.66667,,
29,200507,1194587,5465647,1,,,PAYNESVILLE,45.38333,-94.73333000000001,,
30,200507,1194170,5465503,1,,,BEDFORD,42.95,-71.5,,
31,200506,1194428,5465722,1,10.0,WNW,JAYTON,33.3,-100.75,,
32,200507,1194466,5465723,1,,,MALDEN,36.56667,-89.96667,,
33,200507,1194466,5465724,1,1.0,E,KENNETT,36.23333,-90.05,,
34,200507,1194466,5465725,1,10.0,NNE,SENATH,36.26667,-90.1,,
35,200507,1194467,5465726,1,,,PIGGOTT,36.38333,-90.18333,,
36,200507,1194467,5465727,1,,,PIGGOTT,36.38333,-90.18333,,
37,200507,1194467,5465728,1,,,MARKED TREE,35.53333,-90.41667,,
38,200507,1194467,5465729,1,,,TYRONZA,35.48333,-90.36667,,
39,200507,1194467,5465730,1,,,CHERRY VLY,35.4,-90.76666999999999,,
40,200507,1194467,5465731,1,2.0,N,GILMORE,35.45,-90.28333,,
41,200507,1194467,5465732,1,,,WEINER,35.61667,-90.9,,
42,200507,1194467,5465733,1,,,MARKED TREE,35.53333,-90.41667,,
43,200507,1194467,5465734,1,,,AUBREY,34.71667,-90.9,,
44,200507,1194467,5465735,1,3.0,N,PARAGOULD,36.1,-90.48333000000001,,
45,200507,1194467,5465736,1,,,RECTOR,36.26667,-90.3,,
46,200507,1194467,5465737,1,,,TRUMANN,,,,
47,200507,1194468,5465738,1,,,RUTHERFORD,36.13333,-88.98333000000001,,
48,200506,1194430,5465810,1,1.0,SE,RALLS,33.66667,-101.36667,,
49,200506,1194431,5465811,1,6.0,W,LAZBUDDIE,34.38333,-102.71667,,
50,200506,1194431,5465812,1,,,MULESHOE,34.21667,-102.73333000000001,,
51,200506,1194431,5465813,1,7.0,W,DIMMITT,34.55,-102.43333,,
52,200506,1194431,5465814,1,,,EARTH,34.23333,-102.4,,
53,200506,1194431,5465815,1,1.0,N,LORENZO,33.68333,-101.53333,,
54,200506,1194431,5465816,1,1.0,NW,ROARING SPGS,33.91667,-100.86667,,
55,200506,1194431,5465817,1,1.0,N,LORENZO,33.68333,-101.53333,,
56,200507,1194158,5465399,1,,,NATICK,42.31667,-71.06667,,
