,FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
0,200603,9,0,21548,5494283,D,03/09/2006 12:00:00,46.0,F,Vehicle/Towed Trailer,200603
1,200603,9,0,21549,5494285,D,03/09/2006 12:00:00,57.0,M,Vehicle/Towed Trailer,200603
2,200603,18,0,21550,5493639,D,03/18/2006 12:00:00,77.0,M,Permanent Home,200603
3,200606,27,0,21683,5515116,D,06/27/2006 12:00:00,,,Vehicle/Towed Trailer,200606
4,200606,27,0,21684,5515116,D,06/27/2006 12:00:00,,,Vehicle/Towed Trailer,200606
5,200606,27,0,21685,5515116,D,06/27/2006 12:00:00,,M,In Water,200606
6,200606,27,0,21686,5515116,D,06/27/2006 12:00:00,,M,In Water,200606
7,200604,2,0,21687,5515132,D,04/02/2006 12:00:00,26.0,M,Outside/Open Areas,200604
8,200606,21,0,21689,5516067,D,06/21/2006 12:00:00,32.0,M,Permanent Home,200606
9,200605,18,0,21648,5507098,D,05/18/2006 12:00:00,,M,Vehicle/Towed Trailer,200605
10,200605,25,0,21649,5507493,D,05/25/2006 12:00:00,4.0,F,Vehicle/Towed Trailer,200605
11,200605,25,0,21650,5507577,D,05/25/2006 12:00:00,68.0,F,Outside/Open Areas,200605
12,200605,25,0,21652,5507690,D,05/25/2006 12:00:00,35.0,M,Vehicle/Towed Trailer,200605
13,200605,25,0,21653,5507690,D,05/25/2006 12:00:00,55.0,M,Vehicle/Towed Trailer,200605
14,200605,30,0,21654,5509801,D,05/30/2006 12:00:00,37.0,M,Under Tree,200605
15,200605,30,0,21655,5510171,D,05/30/2006 12:00:00,35.0,M,Permanent Home,200605
16,200605,29,0,21656,5505736,D,05/29/2006 12:00:00,13.0,M,Outside/Open Areas,200605
17,200605,3,0,21657,5507754,D,05/03/2006 12:00:00,22.0,M,Ball Field,200605
18,200605,24,0,21658,5507757,D,05/24/2006 12:00:00,53.0,M,In Water,200605
19,200605,14,0,21659,5513521,D,05/14/2006 12:00:00,36.0,M,Vehicle/Towed Trailer,200605
20,200605,14,0,21660,5513521,D,05/14/2006 12:00:00,52.0,M,In Water,200605
21,200605,9,0,21664,5511066,D,05/09/2006 12:00:00,80.0,F,Mobile/Trailer Home,200605
22,200605,9,0,21665,5511066,D,05/09/2006 12:00:00,82.0,M,Mobile/Trailer Home,200605
23,200605,9,0,21666,5511067,D,05/09/2006 12:00:00,14.0,M,Permanent Home,200605
24,200605,11,0,21667,5511180,D,05/11/2006 12:00:00,30.0,M,Outside/Open Areas,200605
25,200605,28,0,21668,5511350,D,05/28/2006 12:00:00,3.0,F,In Water,200605
26,200605,14,0,21669,5511689,D,05/14/2006 12:00:00,40.0,M,Outside/Open Areas,200605
27,200605,21,0,21670,5511945,D,05/21/2006 12:00:00,69.0,F,Boat,200605
28,200605,21,0,21671,5511945,D,05/21/2006 12:00:00,4.0,F,In Water,200605
29,200605,26,0,21672,5511946,D,05/26/2006 12:00:00,32.0,F,Boat,200605
30,200605,26,0,21673,5511946,D,05/26/2006 12:00:00,21.0,M,Boat,200605
31,200605,27,0,21674,5511947,D,05/27/2006 12:00:00,7.0,F,In Water,200605
32,200606,12,0,21675,5510957,D,06/12/2006 12:00:00,22.0,M,Outside/Open Areas,200606
33,200606,14,0,21677,5511529,D,06/14/2006 12:00:00,13.0,M,In Water,200606
34,200606,8,0,21678,5510877,D,06/08/2006 12:00:00,27.0,F,Outside/Open Areas,200606
35,200606,4,0,21679,5512092,D,06/04/2006 12:00:00,45.0,M,Golfing,200606
36,200607,24,0,21680,5511646,D,07/24/2006 12:00:00,33.0,M,In Water,200607
37,200606,24,0,21681,5515080,D,06/24/2006 12:00:00,39.0,M,In Water,200606
38,200606,7,0,21690,5515912,D,06/07/2006 12:00:00,45.0,M,Under Tree,200606
39,200606,25,0,21691,5513888,D,06/25/2006 12:00:00,64.0,F,Permanent Home,200606
40,200606,18,0,21693,5514354,D,06/18/2006 12:00:00,7.0,M,In Water,200606
41,200606,2,0,21694,5519047,D,06/02/2006 12:00:00,53.0,M,Under Tree,200606
42,200606,23,0,21695,5519064,D,06/23/2006 12:00:00,59.0,M,Under Tree,200606
43,200606,30,0,21872,5518444,D,06/30/2006 12:00:00,19.0,M,In Water,200606
44,200606,29,0,21873,5518444,D,06/29/2006 12:00:00,61.0,M,In Water,200606
45,200606,28,0,21874,5518470,D,06/28/2006 12:00:00,39.0,M,In Water,200606
