,FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
0,201203,29,0,19603,369148,D,01/29/2013 00:00:00,71.0,M,Permanent Home,999999
1,201202,27,0,17756,369184,D,02/27/2012 00:00:00,81.0,M,Outside/Open Areas,999999
2,201203,2,0,17960,369430,D,03/02/2012 00:00:00,54.0,M,Mobile/Trailer Home,999999
3,201203,2,0,17962,369430,D,03/02/2012 00:00:00,58.0,M,Mobile/Trailer Home,999999
4,201203,2,0,17961,369430,D,03/02/2012 00:00:00,64.0,F,Permanent Home,999999
5,201203,2,0,18117,369474,D,03/02/2012 00:00:00,79.0,M,Permanent Structure,999999
6,201203,2,0,18118,369474,D,03/02/2012 00:00:00,73.0,F,Permanent Structure,999999
7,201203,2,0,18115,369474,D,03/02/2012 00:00:00,25.0,M,Vehicle/Towed Trailer,999999
8,201203,2,0,18116,369474,D,03/02/2012 00:00:00,43.0,F,Vehicle/Towed Trailer,999999
9,201202,16,0,17810,369801,D,02/16/2012 00:00:00,37.0,M,Outside/Open Areas,999999
10,201203,2,0,18120,370174,D,03/02/2012 00:00:00,99.0,F,Mobile/Trailer Home,999999
11,201205,6,0,18418,370444,I,05/06/2012 00:00:00,39.0,M,Permanent Home,999999
12,201205,6,0,18419,370444,I,05/06/2012 00:00:00,47.0,M,Permanent Home,999999
13,201203,23,0,17929,371334,D,03/23/2012 00:00:00,49.0,M,Vehicle/Towed Trailer,999999
14,201203,23,0,17930,371334,D,03/23/2012 00:00:00,60.0,F,Vehicle/Towed Trailer,999999
15,201203,26,0,17976,372236,D,03/26/2012 00:00:00,76.0,F,Outside/Open Areas,999999
16,201203,26,0,17975,372236,D,03/26/2012 00:00:00,77.0,M,Permanent Home,999999
17,201203,26,0,17977,372236,D,03/26/2012 00:00:00,51.0,F,Permanent Home,999999
18,201203,31,0,18003,372428,D,03/31/2012 00:00:00,16.0,M,In Water,999999
19,201205,4,0,18141,372583,D,05/04/2012 00:00:00,74.0,F,Vehicle/Towed Trailer,999999
20,201205,19,0,18147,372666,D,05/19/2012 00:00:00,23.0,F,Outside/Open Areas,999999
21,201205,21,0,18148,372667,D,05/21/2012 00:00:00,35.0,F,Outside/Open Areas,999999
22,201203,5,0,18125,372841,I,03/05/2012 00:00:00,34.0,M,Vehicle/Towed Trailer,999999
23,201203,16,0,18061,373226,D,03/16/2012 00:00:00,57.0,M,Vehicle/Towed Trailer,999999
24,201203,13,0,18062,373228,D,03/13/2012 00:00:00,21.0,M,Vehicle/Towed Trailer,999999
25,201203,18,0,18063,373229,D,03/18/2012 00:00:00,35.0,M,Vehicle/Towed Trailer,999999
26,201203,15,0,18064,373231,D,03/15/2012 00:00:00,18.0,M,Outside/Open Areas,999999
27,201205,27,0,18069,373389,D,05/27/2012 00:00:00,3.0,M,Outside/Open Areas,999999
28,201203,21,0,18104,373414,D,03/21/2012 00:00:00,75.0,M,Vehicle/Towed Trailer,999999
29,201203,30,0,18121,373886,D,03/30/2012 00:00:00,12.0,M,Under Tree,999999
30,201204,1,0,18122,373905,I,04/01/2012 00:00:00,18.0,M,Boating,999999
31,201205,29,0,18123,373911,D,05/29/2012 00:00:00,51.0,M,Vehicle/Towed Trailer,999999
32,201205,26,0,18132,374032,D,05/26/2012 00:00:00,2.0,M,Outside/Open Areas,999999
33,201204,4,0,19275,374176,D,04/04/2012 00:00:00,,M,In Water,999999
34,201203,23,0,18140,374200,D,03/23/2012 00:00:00,60.0,F,Mobile/Trailer Home,999999
35,201203,2,0,19359,374385,D,03/02/2012 00:00:00,57.0,M,Mobile/Trailer Home,999999
36,201205,28,0,18155,374622,D,05/28/2012 00:00:00,19.0,M,In Water,999999
37,201203,24,0,18144,374708,D,03/24/2012 00:00:00,61.0,F,Vehicle/Towed Trailer,999999
38,201204,18,0,18230,375925,D,04/18/2012 00:00:00,16.0,M,In Water,999999
39,201204,18,0,18156,375926,D,04/18/2012 00:00:00,14.0,M,In Water,999999
40,201206,5,0,18157,376440,D,06/05/2012 00:00:00,18.0,M,In Water,999999
41,201206,7,0,18158,376441,D,06/07/2012 00:00:00,13.0,F,In Water,999999
42,201204,28,0,18163,377350,D,04/28/2012 00:00:00,58.0,M,Outside/Open Areas,999999
43,201204,29,0,18166,377587,D,04/29/2012 00:00:00,35.0,M,In Water,999999
44,201206,19,0,18550,378398,D,06/19/2012 00:00:00,26.0,M,In Water,999999
45,201204,14,0,18224,378771,D,04/14/2012 00:00:00,7.0,F,Mobile/Trailer Home,999999
46,201204,14,0,18225,378771,D,04/14/2012 00:00:00,4.0,F,Mobile/Trailer Home,999999
47,201204,14,0,18226,378771,D,04/14/2012 00:00:00,24.0,M,Mobile/Trailer Home,999999
48,201204,14,0,18227,378771,D,04/14/2012 00:00:00,63.0,M,Mobile/Trailer Home,999999
49,201204,14,0,18228,378771,D,04/14/2012 00:00:00,41.0,M,Outside/Open Areas,999999
50,201204,14,0,18229,378771,D,04/14/2012 00:00:00,10.0,F,Outside/Open Areas,999999
51,201206,24,0,18509,379209,D,06/24/2012 00:00:00,32.0,F,Permanent Home,999999
52,201204,23,0,18175,379588,D,04/23/2012 00:00:00,,F,Under Tree,999999
53,201206,23,0,18177,379745,D,06/23/2012 00:00:00,60.0,M,Vehicle/Towed Trailer,999999
54,201206,23,0,18190,379838,D,06/23/2012 00:00:00,16.0,M,Outside/Open Areas,999999
55,201206,26,0,18207,380146,D,06/26/2012 00:00:00,33.0,M,In Water,999999
56,201206,29,0,18234,380280,D,06/29/2012 00:00:00,31.0,M,Outside/Open Areas,999999
57,201206,27,0,18243,380749,D,06/27/2012 00:00:00,48.0,M,Outside/Open Areas,999999
58,201206,30,0,18514,380875,D,06/30/2012 00:00:00,33.0,M,Outside/Open Areas,999999
59,201206,17,0,18241,380889,I,06/17/2012 00:00:00,66.0,M,In Water,999999
60,201206,17,0,18240,380890,I,06/17/2012 00:00:00,14.0,M,In Water,999999
61,201207,6,0,18245,381394,D,07/06/2012 00:00:00,54.0,M,Outside/Open Areas,999999
62,201207,7,0,18866,381670,D,07/07/2012 00:00:00,68.0,M,Outside/Open Areas,999999
63,201206,21,0,18447,381738,D,06/21/2012 00:00:00,81.0,M,Unknown,999999
64,201207,1,0,18291,382513,D,07/01/2012 00:00:00,,M,Vehicle/Towed Trailer,999999
