,FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
0,198702,28,905,1006258,10064271,D,02/28/1987 09:05:00,,,,198702
1,198702,15,620,1006259,10044287,D,02/15/1987 06:20:00,,,,198702
2,198702,14,2330,1006260,10143290,D,02/14/1987 23:30:00,,,,198702
3,198703,17,520,1006261,10145284,D,03/17/1987 05:20:00,,,,198703
4,198704,12,2235,1006262,10108771,D,04/12/1987 22:35:00,,,,198704
5,198704,15,915,1006263,9999970,D,04/15/1987 09:15:00,,,,198704
6,198705,21,1145,1006264,9976701,D,05/21/1987 11:45:00,,,,198705
7,198705,18,1520,1006265,10117218,D,05/18/1987 15:20:00,,,,198705
8,198705,30,945,1006266,10004791,D,05/30/1987 09:45:00,,,,198705
9,198705,22,1916,1006267,10143353,D,05/22/1987 19:16:00,,,,198705
10,198706,9,1500,1006268,9987012,D,06/09/1987 15:00:00,,,,198706
11,198706,1,1110,1006269,10053933,D,06/01/1987 11:10:00,,,,198706
12,198706,21,1345,1006270,10053939,D,06/21/1987 13:45:00,,,,198706
13,198706,21,1600,1006271,10053941,D,06/21/1987 16:00:00,,,,198706
14,198706,30,1430,1006272,10118339,D,06/30/1987 14:30:00,,,,198706
15,198706,19,1755,1006273,9992963,D,06/19/1987 17:55:00,,,,198706
16,198706,11,1720,1006274,10140903,D,06/11/1987 17:20:00,,,,198706
17,198706,7,1635,1006275,10162521,D,06/07/1987 16:35:00,,,,198706
18,198707,20,1500,1006276,10055095,D,07/20/1987 15:00:00,,,,198707
19,198707,20,1715,1006277,10055113,D,07/20/1987 17:15:00,,,,198707
20,198707,20,1820,1006278,10055128,D,07/20/1987 18:20:00,,,,198707
21,198707,6,1800,1006279,10046518,D,07/06/1987 18:00:00,,,,198707
22,198707,26,1350,1006280,10046522,D,07/26/1987 13:50:00,,,,198707
23,198707,14,1206,1006281,10001068,D,07/14/1987 12:06:00,,,,198707
24,198707,5,1330,1006282,10004842,D,07/05/1987 13:30:00,,,,198707
25,198707,9,1415,1006283,10148619,D,07/09/1987 14:15:00,,,,198707
26,198707,2,1445,1006284,10144536,D,07/02/1987 14:45:00,,,,198707
27,198707,18,2130,1006285,10150557,D,07/18/1987 21:30:00,,,,198707
28,198708,15,1823,1006286,10049000,D,08/15/1987 18:23:00,,,,198708
29,198709,15,715,1006287,10141145,D,09/15/1987 07:15:00,,,,198709
30,198711,15,1845,1006288,10043000,D,11/15/1987 18:45:00,,,,198711
31,198711,16,848,1006289,10138260,D,11/16/1987 08:48:00,,,,198711
32,198711,15,1215,1006290,10137358,D,11/15/1987 12:15:00,,,,198711
33,198711,15,1400,1006291,10137360,D,11/15/1987 14:00:00,,,,198711
34,198711,15,1503,1006292,10137362,D,11/15/1987 15:03:00,,,,198711
35,198711,15,1545,1006293,10137364,D,11/15/1987 15:45:00,,,,198711
36,198711,15,1615,1006294,10137366,D,11/15/1987 16:15:00,,,,198711
37,198711,25,700,1006295,10138488,D,11/25/1987 07:00:00,,,,198711
38,198712,14,2140,1006296,9989654,D,12/14/1987 21:40:00,,,,198712
