,FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
0,200503,6,0,21018,5445472,D,03/06/2005 12:00:00,32.0,M,Other,200503
1,200501,10,0,21410,5439118,D,01/10/2005 12:00:00,47.0,M,Permanent Home,200501
2,200501,10,0,21411,5439118,D,01/10/2005 12:00:00,51.0,M,Permanent Home,200501
3,200501,10,0,20978,5436694,D,01/10/2005 12:00:00,35.0,F,In Water,200501
4,200501,11,0,20979,5436701,D,01/11/2005 12:00:00,18.0,F,Under Tree,200501
5,200501,8,0,20980,5436799,D,01/08/2005 12:00:00,,M,In Water,200501
6,200501,29,0,21001,5437205,D,01/29/2005 12:00:00,49.0,M,In Water,200501
7,200502,6,0,20982,5437414,D,02/06/2005 12:00:00,55.0,F,Outside/Open Areas,200502
8,200502,28,0,20984,5437167,D,02/28/2005 12:00:00,,F,Vehicle/Towed Trailer,200502
9,200502,1,0,21000,5437849,D,02/01/2005 12:00:00,,M,Outside/Open Areas,200502
10,200501,10,0,21003,5441396,D,01/10/2005 12:00:00,62.0,M,Vehicle/Towed Trailer,200501
11,200501,8,0,21004,5441398,D,01/08/2005 12:00:00,42.0,M,Outside/Open Areas,200501
12,200501,8,0,21005,5441398,D,01/08/2005 12:00:00,26.0,M,Outside/Open Areas,200501
13,200501,1,0,21007,5441401,D,01/01/2005 12:00:00,31.0,F,In Water,200501
14,200502,20,0,21008,5441760,D,02/20/2005 12:00:00,16.0,F,Permanent Home,200502
15,200502,22,0,21009,5441775,D,02/22/2005 12:00:00,,M,In Water,200502
16,200503,31,0,21012,5439714,D,03/31/2005 12:00:00,63.0,M,Outside/Open Areas,200503
17,200503,16,0,21013,5440179,D,03/16/2005 12:00:00,,M,Outside/Open Areas,200503
18,200503,22,0,21014,5439830,D,03/22/2005 12:00:00,34.0,F,Mobile/Trailer Home,200503
19,200503,17,0,21017,5444706,D,03/17/2005 12:00:00,39.0,M,Vehicle/Towed Trailer,200503
20,200503,22,0,21021,5444669,D,03/22/2005 12:00:00,55.0,F,In Water,200503
21,200503,19,0,21022,5442995,D,03/19/2005 12:00:00,14.0,M,In Water,200503
22,200503,24,0,21027,5443154,D,03/24/2005 12:00:00,76.0,M,Vehicle/Towed Trailer,200503
23,200503,24,0,21028,5443155,D,03/24/2005 12:00:00,2.0,M,Vehicle/Towed Trailer,200503
24,200504,26,0,21029,5443710,D,04/26/2005 12:00:00,42.0,M,In Water,200504
