,FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
0,200107,23,0,18879,5258787,D,07/23/2001 12:00:00,1.0,F,Vehicle/Towed Trailer,200107
1,200106,18,0,18880,5259041,D,06/18/2001 12:00:00,58.0,M,Permanent Home,200106
2,200106,17,0,18881,5257971,D,06/17/2001 12:00:00,88.0,F,Permanent Home,200106
3,200107,22,0,18882,5259447,D,07/22/2001 12:00:00,34.0,M,Permanent Home,200107
4,200107,24,0,18883,5259447,D,07/24/2001 12:00:00,52.0,F,Permanent Home,200107
5,200107,16,0,18884,5259551,D,07/16/2001 12:00:00,17.0,M,In Water,200107
6,200107,9,0,18885,5259752,D,07/09/2001 12:00:00,87.0,M,Vehicle/Towed Trailer,200107
7,200107,18,0,18886,5258705,D,07/18/2001 12:00:00,46.0,M,Outside/Open Areas,200107
8,200107,30,0,18887,5258829,D,07/30/2001 12:00:00,39.0,M,Outside/Open Areas,200107
9,200107,23,0,18888,5259358,D,07/23/2001 12:00:00,13.0,F,In Water,200107
10,200107,23,0,18889,5259358,D,07/23/2001 12:00:00,14.0,F,In Water,200107
11,200108,10,0,19011,5266152,D,08/10/2001 12:00:00,44.0,M,Outside/Open Areas,200108
12,200108,5,0,19012,5266423,D,08/05/2001 12:00:00,65.0,M,In Water,200108
13,200108,20,0,19013,5266424,D,08/20/2001 12:00:00,22.0,M,In Water,200108
14,200107,21,0,19014,5266536,D,07/21/2001 12:00:00,79.0,M,Other,200107
15,200108,5,0,19015,5266634,D,08/05/2001 12:00:00,77.0,F,Permanent Home,200108
16,200108,11,0,19017,5266978,D,08/11/2001 12:00:00,2.0,M,Outside/Open Areas,200108
17,200108,11,0,19018,5266978,D,08/11/2001 12:00:00,39.0,M,Outside/Open Areas,200108
18,200108,11,0,19019,5266978,D,08/11/2001 12:00:00,40.0,F,Outside/Open Areas,200108
19,200108,7,0,19020,5266980,D,08/07/2001 12:00:00,51.0,F,In Water,200108
20,200108,7,0,19021,5266980,D,08/07/2001 12:00:00,46.0,M,In Water,200108
21,200108,1,0,19022,5264280,D,08/01/2001 12:00:00,27.0,M,Ball Field,200108
22,200108,8,0,19023,5267398,D,08/08/2001 12:00:00,74.0,F,Permanent Home,200108
23,200107,23,0,18890,5259358,D,07/23/2001 12:00:00,16.0,F,In Water,200107
24,200107,9,0,18896,5259483,D,07/09/2001 12:00:00,30.0,M,Outside/Open Areas,200107
25,200107,9,0,18897,5259483,D,07/09/2001 12:00:00,21.0,M,Outside/Open Areas,200107
26,200107,9,0,18898,5259483,D,07/09/2001 12:00:00,19.0,F,Outside/Open Areas,200107
27,200107,9,0,18899,5259483,D,07/09/2001 12:00:00,18.0,F,Outside/Open Areas,200107
28,200107,25,0,18908,5258379,D,07/25/2001 12:00:00,1.0,F,In Water,200107
29,200107,25,0,18909,5258379,D,07/25/2001 12:00:00,31.0,F,In Water,200107
30,200108,3,0,19032,5258402,D,08/03/2001 12:00:00,14.0,M,In Water,200108
31,200107,7,0,18911,5258475,D,07/07/2001 12:00:00,47.0,M,Permanent Home,200107
32,200107,7,0,18912,5258486,D,07/07/2001 12:00:00,68.0,M,Permanent Home,200107
33,200107,17,0,18913,5258872,D,07/17/2001 12:00:00,50.0,M,Permanent Home,200107
