,YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
0,200406,1172580,5403822,1,,,WHITE OAK,32.53333,-94.86667,,
1,200406,1172676,5404228,1,2.0,E,CANONSBURG,40.25,-80.16667,,
2,200406,1172677,5404229,1,,,EAST PALESTINE,,,,
3,200406,1172678,5404230,1,,,BEAVER FALLS,,,,
4,200406,1172679,5404231,1,,,HARMONY,,,,
5,200406,1172680,5404232,1,1.0,SE,ELDERTON,40.68333,-79.33333,,
6,200406,1172681,5404233,1,,,SOUTH GREENSBURG,40.28333,-79.53333,,
7,200406,1172682,5404234,1,,,BEAVER,40.68333,-80.33333,,
8,200406,1172683,5404235,1,,,SARAHSVILLE,,,,
9,200406,1172684,5404236,1,6.0,S,CONNELLSVILLE,,,,
10,200406,1172753,5404237,1,1.0,E,NORENE,,,,
11,200406,1172753,5404238,1,,,STATESVILLE,,,,
12,200406,1172754,5404239,1,,,MT PLEASANT,35.53333,-87.2,,
13,200406,1172755,5404240,1,,,LANTANA,,,,
14,200406,1173914,5406653,1,10.0,S,PRINGLE,43.45,-103.6,,
15,200406,1173914,5406654,1,10.0,WNW,HOT SPGS,43.48333,-103.66667,,
16,200406,1173914,5406655,1,2.0,W,HOT SPGS,43.43333,-103.51666999999999,,
17,200406,1173915,5406656,1,,,WOUNDED KNEE,43.13333,-102.36667,,
18,200406,1173915,5406657,1,8.0,SW,BATESLAND,43.01667,-102.25,,
19,200406,1173916,5406658,1,2.0,E,BELLE FOURCHE,44.66667,-103.83333,,
20,200406,1174006,5406659,1,,,HURRICANE,38.41667,-82.46667,,
21,200406,1174006,5406660,1,,,(CRW) YEAGER ARPT,38.4,-82.5,,
22,200406,1173866,5406841,1,5.0,NE,PERU,,,,
23,200406,1173866,5406842,1,,,WASHINGTON CENTER,41.05,-85.51666999999999,,
24,200406,1173866,5406843,1,,,WASHINGTON CENTER,41.05,-85.51666999999999,,
25,200406,1173866,5406844,1,,,LUTHER,41.0,-85.56667,,
26,200406,1173866,5406845,1,,,FT WAYNE,41.06667,-85.13333,,
27,200406,1173992,5406875,1,,,AMHERST,37.58333,-79.05,,
28,200406,1173992,5406876,1,1.0,NW,MC ADAM,37.05,-80.75,,
29,200406,1173993,5406877,1,,,RUPERT,37.95,-80.68333,,
30,200406,1173993,5406878,1,,,GREEN SULPHUR SPGS,37.8,-80.81667,,
31,200406,1173994,5406879,1,,,CHILHOWIE,,,,
32,200406,1173994,5406880,1,10.0,NE,MARION,,,,
33,200406,1173995,5406881,1,,,MATOAKA,37.41667,-81.25,,
34,200406,1173610,5406882,1,,,PARK CITY,37.1,-86.05,,
35,200406,1173611,5406883,1,,,RICHMOND,,,,
36,200406,1173612,5406884,1,,,JASPER,,,,
37,200406,1173498,5407283,1,,,,,,,
38,200406,1173499,5407284,1,,,,,,,
39,200406,1173652,5407285,1,,,WATSON,30.58333,-90.95,,
40,200406,1173653,5407286,1,,,FRANKLINTON,30.85,-90.15,,
41,200406,1173654,5407287,1,,,MARINGOUIN,30.48333,-91.51666999999999,,
42,200406,1173655,5407288,1,,,MOSS PT,30.41667,-88.5,,
43,200405,1171689,5401946,1,8.0,SE,RAVENNA,40.13333,-99.45,,
44,200405,1171689,5401947,1,,,HOLDREGE,40.1,-99.31667,,
