,FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
0,201104,15,0,9144,289571,D,04/15/2011 00:00:00,7.0,M,Permanent Home,999999
1,201104,26,0,9730,289592,D,04/26/2011 00:00:00,1.0,M,Permanent Home,999999
2,201104,25,0,9138,289612,D,04/25/2011 00:00:00,63.0,M,Mobile/Trailer Home,999999
3,201104,25,0,9139,289612,D,04/25/2011 00:00:00,55.0,M,Mobile/Trailer Home,999999
4,201104,25,0,9140,289612,D,04/25/2011 00:00:00,45.0,M,Other,999999
5,201104,25,0,9141,289612,D,04/25/2011 00:00:00,45.0,F,Other,999999
6,201103,19,0,8793,290103,D,03/19/2011 00:00:00,46.0,M,Vehicle/Towed Trailer,999999
7,201103,16,0,8792,290109,D,03/16/2011 00:00:00,35.0,M,In Water,999999
8,201104,27,0,8753,290116,D,04/27/2011 00:00:00,22.0,M,In Water,999999
9,201104,27,0,8754,290116,D,04/27/2011 00:00:00,18.0,M,In Water,999999
10,201104,27,0,8755,290116,D,04/27/2011 00:00:00,12.0,M,In Water,999999
11,201103,22,0,8756,290503,I,03/22/2011 00:00:00,69.0,F,Vehicle/Towed Trailer,999999
12,201104,11,0,16435,290523,D,04/11/2011 00:00:00,26.0,M,Unknown,999999
13,201102,8,0,8757,290786,D,02/08/2011 00:00:00,33.0,M,Outside/Open Areas,999999
14,201104,15,0,8764,290951,D,04/15/2011 00:00:00,6.0,M,Permanent Home,999999
15,201104,15,0,8763,290952,D,04/15/2011 00:00:00,56.0,M,Mobile/Trailer Home,999999
16,201104,15,0,8765,290959,D,04/15/2011 00:00:00,24.0,M,Mobile/Trailer Home,999999
17,201104,15,0,8766,290959,D,04/15/2011 00:00:00,1.0,F,Mobile/Trailer Home,999999
18,201103,21,0,8786,290997,I,03/21/2011 00:00:00,65.0,F,Vehicle/Towed Trailer,999999
19,201102,3,0,8777,291087,I,02/03/2011 00:00:00,,,Vehicle/Towed Trailer,999999
20,201102,3,0,8778,291103,I,02/03/2011 00:00:00,,,Vehicle/Towed Trailer,999999
21,201102,3,0,8779,291103,I,02/03/2011 00:00:00,,,Vehicle/Towed Trailer,999999
22,201102,3,0,8780,291136,I,02/03/2011 00:00:00,,,Vehicle/Towed Trailer,999999
23,201105,14,0,8788,291417,D,05/14/2011 00:00:00,12.0,M,In Water,999999
24,201105,14,0,8789,291544,D,05/14/2011 00:00:00,17.0,M,In Water,999999
25,201104,23,0,9029,291597,D,04/23/2011 00:00:00,54.0,M,Vehicle/Towed Trailer,999999
26,201103,20,0,8997,291601,D,03/20/2011 00:00:00,77.0,F,Vehicle/Towed Trailer,999999
27,201104,25,0,9035,291814,D,04/25/2011 00:00:00,65.0,M,Vehicle/Towed Trailer,999999
28,201103,5,0,8809,292185,D,03/05/2011 00:00:00,21.0,F,Permanent Home,999999
29,201103,26,0,8803,292351,D,03/26/2011 00:00:00,26.0,M,Outside/Open Areas,999999
30,201104,26,0,9682,292605,D,04/26/2011 00:00:00,3.0,M,Permanent Home,999999
31,201103,8,0,8810,293377,D,03/08/2011 00:00:00,97.0,F,Outside/Open Areas,999999
32,201104,27,0,9890,293821,D,04/27/2011 00:00:00,,F,Vehicle/Towed Trailer,999999
33,201104,27,0,9889,293825,D,04/27/2011 00:00:00,45.0,M,Vehicle/Towed Trailer,999999
34,201104,27,0,17283,294036,D,04/27/2011 00:00:00,42.0,F,Permanent Home,999999
35,201104,27,0,17284,294036,D,04/27/2011 00:00:00,77.0,M,Permanent Home,999999
36,201104,27,0,17285,294036,D,04/27/2011 00:00:00,33.0,F,Permanent Home,999999
37,201104,27,0,17286,294036,D,04/27/2011 00:00:00,56.0,F,Permanent Home,999999
38,201105,22,0,13861,294080,D,05/22/2011 00:00:00,59.0,M,Vehicle/Towed Trailer,999999
39,201104,15,0,8828,294306,I,04/15/2011 00:00:00,50.0,M,Outside/Open Areas,999999
40,201104,5,0,9722,294514,I,04/05/2011 00:00:00,22.0,M,Vehicle/Towed Trailer,999999
41,201103,15,0,8829,294833,D,03/15/2011 00:00:00,44.0,F,Permanent Home,999999
42,201104,4,0,8871,294862,D,04/04/2011 00:00:00,4.0,M,Permanent Home,999999
43,201104,4,0,8872,294862,D,04/04/2011 00:00:00,34.0,M,Permanent Home,999999
44,201103,26,0,8840,295231,I,03/26/2011 00:00:00,21.0,M,Vehicle/Towed Trailer,999999
45,201103,26,0,8841,295231,I,03/26/2011 00:00:00,18.0,M,Vehicle/Towed Trailer,999999
46,201103,26,0,8842,295231,I,03/26/2011 00:00:00,18.0,M,Vehicle/Towed Trailer,999999
47,201103,26,0,8843,295231,I,03/26/2011 00:00:00,18.0,M,Vehicle/Towed Trailer,999999
48,201103,26,0,8844,295231,I,03/26/2011 00:00:00,18.0,M,Vehicle/Towed Trailer,999999
49,201104,4,0,8845,295249,I,04/04/2011 00:00:00,87.0,M,Outside/Open Areas,999999
50,201103,11,0,8853,295299,D,03/11/2011 00:00:00,25.0,M,Outside/Open Areas,999999
51,201104,5,0,9862,295351,D,04/05/2011 00:00:00,45.0,M,Mobile/Trailer Home,999999
52,201104,4,0,8859,295378,D,04/04/2011 00:00:00,,M,Unknown,999999
53,201105,31,0,8861,295400,D,05/31/2011 00:00:00,0.0,,Unknown,999999
54,201105,21,0,15904,295476,D,05/21/2011 00:00:00,53.0,M,Mobile/Trailer Home,999999
55,201105,2,0,8894,296305,D,06/02/2011 00:00:00,31.0,M,Outside/Open Areas,999999
56,201104,25,0,9019,296420,D,04/25/2011 00:00:00,56.0,M,Vehicle/Towed Trailer,999999
57,201104,25,0,9020,296420,D,04/25/2011 00:00:00,50.0,M,Vehicle/Towed Trailer,999999
58,201104,25,0,9892,296429,D,04/25/2011 00:00:00,75.0,M,Vehicle/Towed Trailer,999999
59,201104,25,0,9893,296429,D,04/25/2011 00:00:00,72.0,F,Vehicle/Towed Trailer,999999
60,201104,25,0,9023,296431,D,04/25/2011 00:00:00,38.0,F,Vehicle/Towed Trailer,999999
61,201104,5,0,8867,296449,D,04/05/2011 00:00:00,22.0,M,Vehicle/Towed Trailer,999999
62,201104,27,0,15345,296474,D,04/27/2011 00:00:00,50.0,M,In Water,999999
63,201105,22,0,16821,296617,D,05/22/2011 00:00:00,71.0,M,Unknown,999999
64,201105,22,0,16822,296617,D,05/22/2011 00:00:00,54.0,F,Unknown,999999
65,201105,22,0,16823,296617,D,05/22/2011 00:00:00,48.0,F,Unknown,999999
66,201105,22,0,16824,296617,D,05/22/2011 00:00:00,56.0,F,Unknown,999999
67,201105,22,0,16825,296617,D,05/22/2011 00:00:00,79.0,F,Unknown,999999
68,201105,22,0,16826,296617,D,05/22/2011 00:00:00,88.0,M,Unknown,999999
69,201105,22,0,16827,296617,D,05/22/2011 00:00:00,49.0,M,Unknown,999999
70,201105,22,0,16828,296617,D,05/22/2011 00:00:00,91.0,F,Unknown,999999
71,201105,22,0,16872,296617,D,05/22/2011 00:00:00,85.0,M,Unknown,999999
72,201105,22,0,16888,296617,D,05/22/2011 00:00:00,91.0,F,Unknown,999999
73,201105,22,0,16854,296617,D,05/22/2011 00:00:00,16.0,F,Business,999999
74,201105,22,0,16855,296617,D,05/22/2011 00:00:00,59.0,M,Business,999999
75,201105,22,0,16856,296617,D,05/22/2011 00:00:00,34.0,F,Business,999999
76,201105,22,0,16857,296617,D,05/22/2011 00:00:00,27.0,M,Business,999999
77,201105,22,0,16858,296617,D,05/22/2011 00:00:00,66.0,F,Business,999999
78,201105,22,0,16859,296617,D,05/22/2011 00:00:00,62.0,F,Business,999999
79,201105,22,0,16843,296617,D,05/22/2011 00:00:00,9.0,M,Church,999999
80,201105,22,0,16844,296617,D,05/22/2011 00:00:00,55.0,F,Church,999999
81,201105,22,0,16845,296617,D,05/22/2011 00:00:00,17.0,F,Church,999999
